"Year";"Commune";"Visitors' country of residence - total Arrivals";"Visitors' country of residence - total Overnight stays"
"2023";"Engelberg";151452;324371
"2023";"Sachseln";33282;62966
"2023";"Sarnen";26398;59361
"2023";"Beckenried";24711;41618
"2023";"Emmetten";20300;34619
"2023";"Glarus Nord";35041;71483
"2023";"Glarus Süd";30104;64051
"2023";"Unterägeri";15958;25084
"2023";"Zug";43525;109693
"2023";"Haut-Intyamon";2522;3962
"2023";"Bulle";41405;69291
"2023";"Gruyères";20149;28122
"2023";"Fribourg";49985;74739
"2023";"Murten";22600;34722
"2023";"Plaffeien";16115;29837
"2023";"Egerkingen";46686;71916
"2023";"Grenchen";9471;18738
"2023";"Olten";45064;78083
"2023";"Solothurn";59600;97637
"2023";"Basel";798666;1463684
"2023";"Liestal";16416;27365
"2023";"Pratteln";45724;82332
"2023";"Schaffhausen";65715;107560
"2023";"Hundwil";20369;26528
"2023";"Gais";9460;13164
"2023";"Teufen (AR)";4129;7589
"2023";"Heiden";15643;29234
"2023";"Appenzell";30428;49049
"2023";"Gonten";9493;20267
"2023";"St. Gallen";154023;293745
"2023";"Rorschacherberg";19013;30405
"2023";"Altstätten";7758;14483
"2023";"Buchs (SG)";15278;32877
"2023";"Bad Ragaz";67259;156942
"2023";"Flums";10912;21159
"2023";"Quarten";31195;58559
"2023";"Walenstadt";6079;9876
"2023";"Amden";9398;18991
"2023";"Rapperswil-Jona";22502;40656
"2023";"Eschenbach (SG)";994;2310
"2023";"Wildhaus-Alt St. Johann";43759;96343
"2023";"Neckertal";6649;16163
"2023";"Uzwil";12018;37719
"2023";"Wil (SG)";20362;34256
"2023";"Vaz/Obervaz";97818;255532
"2023";"Surses";28289;62027
"2023";"Poschiavo";39677;76211
"2023";"Laax";63167;246745
"2023";"Vals";34305;67815
"2023";"Lumnezia";4924;10619
"2023";"Ilanz/Glion";13651;24053
"2023";"Rheinwald";10336;18584
"2023";"Flims";70819;204078
"2023";"Zernez";35560;69210
"2023";"Samnaun";46006;154911
"2023";"Scuol";89747;250306
"2023";"Celerina/Schlarigna";38576;113869
"2023";"Pontresina";108170;347049
"2023";"Samedan";21215;45084
"2023";"St. Moritz";284041;783253
"2023";"Bregaglia";21795;52624
"2023";"Val Müstair";27129;54774
"2023";"Davos";314279;810299
"2023";"Klosters";52077;140162
"2023";"Chur";140285;212188
"2023";"Arosa";132496;403516
"2023";"Maienfeld";20053;32835
"2023";"Breil/Brigels";15153;39119
"2023";"Tujetsch";17191;49968
"2023";"Aarau";21122;33663
"2023";"Baden";58924;128786
"2023";"Lenzburg";16316;28176
"2023";"Rheinfelden";9189;23390
"2023";"Zofingen";10118;18838
"2023";"Arbon";22520;34873
"2023";"Frauenfeld";15454;36221
"2023";"Kreuzlingen";23859;44430
"2023";"Bellinzona";65834;99198
"2023";"Ascona";149023;420261
"2023";"Locarno";127309;275214
"2023";"Muralto";61094;130386
"2023";"Lugano";291796;561421
"2023";"Paradiso";110707;193859
"2023";"Collina d'Oro";6919;16168
"2023";"Monteceneri";2365;4535
"2023";"Chiasso";18234;30233
"2023";"Mendrisio";33564;50403
"2023";"Leysin";68027;194065
"2023";"Ollon";49459;106814
"2023";"Ormont-Dessus";20639;54514
"2023";"Bullet";11062;21974
"2023";"Lausanne";487583;930443
"2023";"Bourg-en-Lavaux";21889;33213
"2023";"Morges";29345;67287
"2023";"Nyon";42530;85536
"2023";"Château-d'Oex";9729;21012
"2023";"Le Chenit";18124;28834
"2023";"Montreux";233331;437085
"2023";"Vevey";52610;103719
"2023";"Blonay - Saint-Légier";26741;42075
"2023";"Yverdon-les-Bains";45104;74201
"2023";"Brig-Glis";96889;213261
"2023";"Nendaz";21711;39436
"2023";"Orsières";46484;59853
"2023";"Val de Bagnes";65437;173995
"2023";"Goms";23868;50755
"2023";"Evolène";22001;38444
"2023";"Leukerbad";105865;209030
"2023";"Martigny";59780;90792
"2023";"Champéry";34529;69499
"2023";"Saint-Maurice";12496;22432
"2023";"Sierre";18645;29984
"2023";"Anniviers";58332;171902
"2023";"Crans-Montana";90992;227543
"2023";"Sion";80123;120067
"2023";"Saas-Fee";90201;251484
"2023";"Saas-Grund";22170;64340
"2023";"Visp";25087;44412
"2023";"Zermatt";686821;1632630
"2023";"La Grande Béroche";7735;13201
