name,countries,regions,localities,status,has_downhill,has_nordic,downhill_distance_km,nordic_distance_km,vertical_m,min_elevation_m,max_elevation_m,lift_count,surface_lifts_count,run_convention,wikidata_id,websites,openskimap,id,geometry,lat,lng,sources
Skijalište Kozara,Bosnia and Herzegovina,Republic of Srpska,,operating,yes,no,1,,122,665,787,1,1,europe,,https://kozaraski.com/,https://openskimap.org/?obj=00b24f9b2d9c482b26e337f75b37abd8f30666ca,00b24f9b2d9c482b26e337f75b37abd8f30666ca,Point,45.016507,16.902803,https://www.openstreetmap.org/relation/10515881 https://www.skimap.org/SkiAreas/view/13261
,Slovakia,Zilina,,operating,no,yes,,1,91,613,704,,,europe,,,https://openskimap.org/?obj=00b6a628-9d29-4af3-93d9-745b220455c6,00b6a628-9d29-4af3-93d9-745b220455c6,Point,49.385285,18.651398,
"戸隠スキー場, Togakushi Ski Area",Japan,Nagano Prefecture,,operating,yes,no,15,,440,1304,1744,7,,japan,,https://www.togakusi.com/,https://openskimap.org/?obj=00c448606843596d8809c66f788c9612241d46b9,00c448606843596d8809c66f788c9612241d46b9,Polygon,36.748956,138.101505,https://www.openstreetmap.org/way/936983347 https://www.skimap.org/SkiAreas/view/1678
Lanzo d'Intelvi,Italy,Como,,operating,yes,no,1,,111,1087,1198,3,3,europe,,,https://openskimap.org/?obj=00c7a46c8260b480b7b6709f4d4f4fc2b546a63c,00c7a46c8260b480b7b6709f4d4f4fc2b546a63c,Polygon,45.970422,9.008894,https://www.openstreetmap.org/way/1227363603
,Russia,Moscow Oblast,Sergiyev Posad,operating,no,yes,,19,72,183,255,,,europe,,,https://openskimap.org/?obj=00d1b176-3d36-4c66-b32b-d99f518af9a0,00d1b176-3d36-4c66-b32b-d99f518af9a0,Point,56.301954,38.255973,
A-X/Across Shigenobu (アクロス重信),Japan,Ehime Prefecture,,abandoned,yes,no,,,,,,,,japan,,,https://openskimap.org/?obj=00d24f608c13e6dff68c00da04e8fb71d5eae150,00d24f608c13e6dff68c00da04e8fb71d5eae150,Point,33.811757,132.871623,https://www.skimap.org/SkiAreas/view/1788
Ski Civetta,Italy,Belluno,Zoldo Alto,operating,yes,no,61,,1095,983,2078,28,15,europe,,https://www.skicivetta.com/,https://openskimap.org/?obj=00e3880c19b3ca1bb412d2274d3c15bf4a2598f9,00e3880c19b3ca1bb412d2274d3c15bf4a2598f9,Point,46.407541,12.075283,https://www.openstreetmap.org/relation/9752774 https://www.skimap.org/SkiAreas/view/4407
,Switzerland,Valais,Nax,operating,yes,no,0,,10,1287,1297,1,1,europe,,,https://openskimap.org/?obj=00e52ca4-923b-4d37-80c1-756db27339cf,00e52ca4-923b-4d37-80c1-756db27339cf,Point,46.230412,7.441953,
,Norway,Nordland,,operating,no,yes,,6,38,338,375,,,europe,,,https://openskimap.org/?obj=00e738a5-9b51-43da-8ca5-c389fb8ee911,00e738a5-9b51-43da-8ca5-c389fb8ee911,Point,65.152108,13.401830,
,Italy,Bolzano/Bozen,,operating,no,yes,,5,114,1654,1768,,,europe,,,https://openskimap.org/?obj=00eeb642-dfa9-45d9-a2f6-abce0f473b2d,00eeb642-dfa9-45d9-a2f6-abce0f473b2d,Point,46.429644,11.582217,
Valle Fura,Italy,L'Aquila,,operating,yes,no,6,,300,1455,1755,5,3,europe,,https://www.impiantivallefura.it/,https://openskimap.org/?obj=00f4e89f9a85eb2d4b489c7cd34ba08421a87486,00f4e89f9a85eb2d4b489c7cd34ba08421a87486,Point,41.888069,14.053511,https://www.openstreetmap.org/relation/3955948 https://www.skimap.org/SkiAreas/view/4496
,Italy,Valle D'Aosta,,operating,no,yes,,0,1,1728,1729,,,europe,,,https://openskimap.org/?obj=00ff0aaf-023d-4def-82e3-a8087510f518,00ff0aaf-023d-4def-82e3-a8087510f518,Point,45.568146,7.117241,
,Germany,"Hesse;North Rhine-Westphalia","Medebach;Willingen;Winterberg",operating,no,yes,,54,247,590,838,,,europe,,,https://openskimap.org/?obj=0118590f-ca78-4a9d-a1c1-dc28b39480e5,0118590f-ca78-4a9d-a1c1-dc28b39480e5,Point,51.266192,8.612129,
Rauschberg (Ruhpolding),Germany,Bavaria,Ruhpolding,abandoned,yes,no,,,921,708,1629,1,,europe,,,https://openskimap.org/?obj=0119ba4092be4b1c3950b0d13be0217f2473bf34,0119ba4092be4b1c3950b0d13be0217f2473bf34,Point,47.732570,12.683371,https://www.skimap.org/SkiAreas/view/16617
,Norway,Møre and Romsdal,,operating,no,yes,,13,568,238,806,,,europe,,,https://openskimap.org/?obj=011f9802-99f7-4d3e-b7b8-f1972d4a0dd7,011f9802-99f7-4d3e-b7b8-f1972d4a0dd7,Point,62.149513,6.183828,
,Finland,Satakunta,Pihlava,operating,no,yes,,10,12,2,14,,,europe,,,https://openskimap.org/?obj=01233021-55ca-4f10-a211-6a288b1720d8,01233021-55ca-4f10-a211-6a288b1720d8,Point,61.541255,21.655808,
,Norway,Innlandet,,operating,no,yes,,36,239,703,942,,,europe,,,https://openskimap.org/?obj=0123ce20-9035-473a-ad78-906ae63ca69c,0123ce20-9035-473a-ad78-906ae63ca69c,Point,62.581459,10.940671,
Kitsumkalum,Canada,British Columbia,,abandoned,yes,no,,,,,,,,north_america,,https://www.facebook.com/groups/48182677500/about,https://openskimap.org/?obj=01253e593b3924f332c08ede89e89a9c66a364c0,01253e593b3924f332c08ede89e89a9c66a364c0,Point,54.556834,-128.695393,https://www.skimap.org/SkiAreas/view/2130
,"Czechia;Poland","Moravian-Silesian;Silesian Voivodeship",Wisła,operating,no,yes,,9,307,685,992,,,europe,,,https://openskimap.org/?obj=0127473a-22d5-41c0-9f28-ca21f8404902,0127473a-22d5-41c0-9f28-ca21f8404902,Point,49.636920,18.814192,
,Sweden,Vasterbotten County,,operating,no,yes,,2,21,305,326,,,europe,,,https://openskimap.org/?obj=01292c3a-7db1-41b5-a7d2-b26122b1ea86,01292c3a-7db1-41b5-a7d2-b26122b1ea86,Point,64.947068,19.359247,
Skeetawk,United States,Alaska,Fishhook,operating,yes,no,3,,85,444,529,1,,north_america,,https://skeetawk.com/,https://openskimap.org/?obj=0132cfcb14305f78fa2c8506aaa8b41f83d017ed,0132cfcb14305f78fa2c8506aaa8b41f83d017ed,Polygon,61.743275,-149.237603,https://www.openstreetmap.org/way/934351305 https://www.skimap.org/SkiAreas/view/3003
,United States,Vermont,,operating,yes,no,0,,35,696,731,,,north_america,,,https://openskimap.org/?obj=0142a50b7da1cfd4d92350145fda2eef07767784,0142a50b7da1cfd4d92350145fda2eef07767784,Polygon,43.531762,-72.749597,https://www.openstreetmap.org/way/1092913567
Obergünzburg Loipen,Germany,Bavaria,Obergünzburg,operating,no,yes,,,,,,,,europe,,http://www.langlauf-oberguenzburg.de/,https://openskimap.org/?obj=0144b11130906315cd8a11345a46db509b38bbfe,0144b11130906315cd8a11345a46db509b38bbfe,Point,47.835831,10.419030,https://www.skimap.org/SkiAreas/view/17729
,Finland,Paijanne Tavastia,,operating,no,yes,,11,48,92,140,,,europe,,,https://openskimap.org/?obj=01461014-96d9-403b-804b-9502bf032e5a,01461014-96d9-403b-804b-9502bf032e5a,Point,60.974086,25.921487,
,Russia,Murmansk,Kirovsk,operating,no,yes,,3,38,393,431,,,europe,,,https://openskimap.org/?obj=01479728-3030-4290-a66f-0ea3a34a5f85,01479728-3030-4290-a66f-0ea3a34a5f85,Point,67.609975,33.686636,
Lagorai,Italy,Trento,,operating,yes,no,10,,448,1594,2041,5,2,europe,,https://www.brocon.it/,https://openskimap.org/?obj=015bc40cac21393feded45673c2418c6a5389784,015bc40cac21393feded45673c2418c6a5389784,Point,46.104423,11.659701,https://www.openstreetmap.org/relation/9648372 https://www.skimap.org/SkiAreas/view/3140
Arabichl,Austria,"Lower Austria;Styria",Semmering,operating,yes,yes,4,49,140,1369,1508,1,1,europe,,http://www.arabichllift.at/,https://openskimap.org/?obj=015da41ed0e3579ed13349c36dfbb528743109a2,015da41ed0e3579ed13349c36dfbb528743109a2,Polygon,47.571564,15.908656,https://www.openstreetmap.org/way/335621978
,Germany,"Baden-Württemberg;Bavaria","Gestratz;Isny im Allgäu;Mayerhofen;Weitnau",operating,no,yes,,50,152,680,832,,,europe,,,https://openskimap.org/?obj=01643ace-1169-439a-bb34-df6c30d680cc,01643ace-1169-439a-bb34-df6c30d680cc,Point,47.674758,10.038972,
,Finland,"Northern Savonia;Southern Savonia","Leppävirta;Sorsakoski",operating,no,yes,,30,53,85,138,,,europe,,,https://openskimap.org/?obj=0176c6b4-cfc2-4a41-9cc9-f6ba9d760cd9,0176c6b4-cfc2-4a41-9cc9-f6ba9d760cd9,Point,62.441682,27.662056,
Beartown,United States,Massachusetts,Lee,abandoned,yes,no,,,,,,,,north_america,,https://www.newenglandskihistory.com/Massachusetts/beartownmtn.php,https://openskimap.org/?obj=017ac99f71932c6134c56d13df331011b721faea,017ac99f71932c6134c56d13df331011b721faea,Point,42.271293,-73.269257,https://www.skimap.org/SkiAreas/view/14913
Tarscher Alm,Italy,Bolzano/Bozen,,abandoned,yes,no,,,756,1172,1928,1,,europe,,,https://openskimap.org/?obj=01967782c73c69c93f812b8d47b31ec1da87cb1b,01967782c73c69c93f812b8d47b31ec1da87cb1b,Point,46.593084,10.892940,https://www.skimap.org/SkiAreas/view/15210
,Finland,Southern Ostrobothnia,Soini,operating,no,yes,,6,21,188,209,,,europe,,,https://openskimap.org/?obj=019e6da9-716b-4e6d-a725-0ba4c3156334,019e6da9-716b-4e6d-a725-0ba4c3156334,Point,62.861552,24.216964,
Avantura park,Serbia,Zlatiborski upravni okrug,,operating,yes,no,2,,522,965,1488,2,,europe,,,https://openskimap.org/?obj=01a249ab7e64df591e256b239313eac6cb67f441,01a249ab7e64df591e256b239313eac6cb67f441,Point,43.723244,19.698239,https://www.openstreetmap.org/relation/13472638
Station Petit Chic-Chocs,Canada,Quebec,Cap-Chat,operating,yes,no,3,,153,50,203,1,1,north_america,,https://www.centrepleinaircap-chat.com/activit%C3%A9s,https://openskimap.org/?obj=01a28070e28a5e8564ec9cff31bd339b4ebc8278,01a28070e28a5e8564ec9cff31bd339b4ebc8278,Polygon,49.049590,-66.695011,https://www.openstreetmap.org/way/1352985922 https://www.skimap.org/SkiAreas/view/2243
Caviahue,Argentina,Neuquen,,operating,yes,no,13,,429,1685,2114,11,7,europe,,https://www.caviahue.com/invierno,https://openskimap.org/?obj=01b54e4e5ba0cc28ab50515e9fb34754ba3d44d1,01b54e4e5ba0cc28ab50515e9fb34754ba3d44d1,Polygon,-37.856610,-71.094045,https://www.openstreetmap.org/way/1362374789
热雪奇迹,China,Guangdong,,operating,yes,no,0,,4,11,15,,,north_america,,http://guangzhoupark.sunacctg.com/,https://openskimap.org/?obj=01bacfa41a1f09093ef8c38074a011f795ccc32c,01bacfa41a1f09093ef8c38074a011f795ccc32c,Polygon,23.429953,113.226140,https://www.openstreetmap.org/relation/11612375 https://www.skimap.org/SkiAreas/view/14020
"Шерегеш, Sheregesh",Russia,Kemerovo,,operating,yes,no,65,,877,582,1460,23,8,europe,,https://www.sheregesh.su/,https://openskimap.org/?obj=01bb562d07c3063c474c861a253f6644550c977c,01bb562d07c3063c474c861a253f6644550c977c,Polygon,52.948600,87.923868,https://www.openstreetmap.org/way/1266093626 https://www.skimap.org/SkiAreas/view/1935
Chicopee,Canada,Ontario,Kitchener,operating,yes,no,3,,55,321,376,8,5,north_america,,https://www.discoverchicopee.com/,https://openskimap.org/?obj=01c4587c49e1b4ff2cea333fbd4766b2d8b8f585,01c4587c49e1b4ff2cea333fbd4766b2d8b8f585,Point,43.434470,-80.420279,https://www.openstreetmap.org/relation/3252880 https://www.skimap.org/SkiAreas/view/145
Hinterfeldlift Mösern,Austria,Tyrol,,operating,yes,no,0,,31,1235,1266,1,1,europe,,,https://openskimap.org/?obj=01caecb7e613ccd38645dfaa350daf70ff899b8f,01caecb7e613ccd38645dfaa350daf70ff899b8f,Point,47.311477,11.152311,https://www.openstreetmap.org/relation/14295880
Challenge Mountain,United States,Michigan,,abandoned,yes,no,,,,,,,,north_america,,,https://openskimap.org/?obj=01ce8713855d7d783e3e6bd861127453e78a1063,01ce8713855d7d783e3e6bd861127453e78a1063,Point,45.236610,-84.881683,https://www.skimap.org/SkiAreas/view/3271
Yamada Onsen Kids Snow Park (山田温泉キッズスノーパーク),Japan,Nagano Prefecture,,operating,yes,no,,,,,,,,japan,,https://shinshu-takayama-onsenkyo.com/facility/kids-ski-park/,https://openskimap.org/?obj=01d40a4ba33f4ee3c9d8ebdd0e11cba7c886b4a2,01d40a4ba33f4ee3c9d8ebdd0e11cba7c886b4a2,Point,36.675314,138.427936,https://www.skimap.org/SkiAreas/view/1684
