"Year";"Month";"Commune";"Establishments";"Rooms";"Beds";"Arrivals";"Overnight stays";"Room nights";"Room occupancy";"Bed occupancy"
"2020";"Total of the year";"Rapperswil-Jona";4.42;90.77;159.70;8589.00;14110.00;10460.00;32.25;24.76
"2020";"Total of the year";"Eschenbach (SG)";3.83;20.83;39.67;644.00;1720.00;1117.00;15.40;12.42
"2020";"Total of the year";"Wildhaus-Alt St. Johann";18.58;434.17;957.08;27712.00;74070.00;43619.00;29.16;22.51
"2020";"Total of the year";"Neckertal";...;...;...;...;...;...;...;...
"2020";"Total of the year";"Uzwil";7.67;184.56;309.07;7348.00;25167.00;17948.00;26.57;22.25
"2020";"Total of the year";"Wil (SG)";3.92;118.49;212.24;9162.00;16191.00;11864.00;27.57;20.98
"2020";"Total of the year";"Vaz/Obervaz";16.25;738.20;1654.87;103079.00;286260.00;146590.00;59.16;51.23
"2020";"Total of the year";"Surses";11.42;327.78;741.38;18663.00;44216.00;25274.00;23.47;18.69
"2020";"Total of the year";"Poschiavo";16.75;237.07;497.73;28318.00;57418.00;33781.00;44.04;35.78
"2020";"Total of the year";"Laax";7.92;472.77;1580.09;47304.00;198852.00;84523.00;60.03;41.17
"2020";"Total of the year";"Vals";10.08;224.73;449.14;35331.00;70637.00;39543.00;58.30;52.10
"2020";"Total of the year";"Lumnezia";7.08;74.30;181.11;5534.00;11966.00;6592.00;28.50;20.96
"2020";"Total of the year";"Ilanz/Glion";6.33;108.81;182.87;8774.00;19793.00;12802.00;32.94;30.50
"2020";"Total of the year";"Rheinwald";5.92;85.43;177.27;9559.00;18089.00;11128.00;37.78;29.56
"2020";"Total of the year";"Flims";16.17;694.21;1463.25;85452.00;231749.00;126536.00;53.79;46.75
"2020";"Total of the year";"Zernez";10.83;280.70;586.32;31161.00;71004.00;39917.00;43.53;36.90
"2020";"Total of the year";"Samnaun";21.92;462.21;965.96;42315.00;145263.00;80878.00;55.06;47.46
"2020";"Total of the year";"Scuol";33.33;755.42;1581.96;89020.00;263927.00;144074.00;57.18;50.00
"2020";"Total of the year";"Celerina/Schlarigna";8.92;386.11;783.48;34343.00;108170.00;58157.00;42.86;39.09
"2020";"Total of the year";"Pontresina";14.33;751.26;1530.72;83836.00;304733.00;166841.00;67.69;60.83
"2020";"Total of the year";"Samedan";8.17;157.83;393.03;17783.00;44965.00;25702.00;46.77;32.87
"2020";"Total of the year";"St. Moritz";28.17;2160.09;4171.22;164714.00;574003.00;334121.00;47.41;41.86
"2020";"Total of the year";"Bregaglia";15.00;245.84;585.93;21919.00;53903.00;28775.00;33.58;26.14
"2020";"Total of the year";"Val M?stair";13.42;210.44;428.89;26899.00;56882.00;34210.00;51.20;41.61
"2020";"Total of the year";"Davos";47.50;2770.02;5483.39;246106.00;670995.00;392371.00;42.29;36.56
"2020";"Total of the year";"Klosters";19.50;481.48;1065.73;39332.00;119049.00;64079.00;40.73;34.06
"2020";"Total of the year";"Chur";15.50;558.57;1033.28;66868.00;108082.00;73011.00;35.83;28.66
"2020";"Total of the year";"Arosa";31.00;1195.34;2411.46;114892.00;369506.00;199513.00;54.20;49.77
"2020";"Total of the year";"Maienfeld";5.00;124.00;243.00;13287.00;22020.00;16125.00;36.44;25.38
"2020";"Total of the year";"Breil/Brigels";10.83;179.67;389.71;20462.00;50592.00;27047.00;46.73;40.38
"2020";"Total of the year";"Tujetsch";9.25;143.35;422.49;15933.00;52192.00;23565.00;49.92;36.89
"2020";"Total of the year";"Aarau";3.92;127.98;219.63;9261.00;15378.00;10887.00;23.96;19.65
"2020";"Total of the year";"Baden";8.67;429.60;687.88;22242.00;46786.00;38208.00;25.26;19.43
"2020";"Total of the year";"Lenzburg";4.50;135.37;217.90;9033.00;20676.00;16752.00;35.89;27.61
"2020";"Total of the year";"Rheinfelden";3.00;52.33;91.67;3597.00;9618.00;6614.00;34.53;28.67
"2020";"Total of the year";"Zofingen";3.00;96.98;142.34;4167.00;8727.00;7658.00;21.77;16.90
"2020";"Total of the year";"Arbon";6.67;98.77;177.10;12756.00;21624.00;14073.00;42.58;36.52
"2020";"Total of the year";"Frauenfeld";5.92;199.26;370.85;10621.00;30640.00;23239.00;32.48;22.98
"2020";"Total of the year";"Kreuzlingen";7.17;152.34;294.27;18881.00;34327.00;22038.00;42.83;34.54
"2020";"Total of the year";"Bellinzona";15.17;430.14;854.83;45142.00;75895.00;50799.00;33.39;25.08
"2020";"Total of the year";"Ascona";24.25;949.98;1787.30;119210.00;363939.00;192128.00;60.40;60.85
"2020";"Total of the year";"Locarno";24.50;758.20;1616.27;110044.00;267108.00;140396.00;55.28;49.53
"2020";"Total of the year";"Muralto";11.58;295.99;568.08;38290.00;88951.00;52000.00;50.93;45.39
"2020";"Total of the year";"Lugano";34.17;1508.15;2818.31;159849.00;367102.00;222099.00;42.39;37.54
"2020";"Total of the year";"Paradiso";8.08;467.42;998.15;69082.00;144014.00;83174.00;50.07;40.46
"2020";"Total of the year";"Collina d'Oro";5.17;101.88;212.77;8639.00;25638.00;14419.00;40.43;34.50
"2020";"Total of the year";"Monteceneri";3.67;34.89;65.18;1351.00;3080.00;2060.00;17.24;13.89
"2020";"Total of the year";"Chiasso";3.42;116.68;257.04;9421.00;15411.00;10533.00;25.55;16.86
"2020";"Total of the year";"Mendrisio";7.50;189.99;391.49;10605.00;20325.00;13457.00;19.61;14.37
"2020";"Total of the year";"Leysin";4.42;298.05;816.32;43762.00;129325.00;55950.00;63.57;52.41
"2020";"Total of the year";"Ollon";6.42;291.48;648.09;25009.00;59664.00;31432.00;35.27;30.86
"2020";"Total of the year";"Ormont-Dessus";5.00;186.89;378.78;14129.00;32444.00;18469.00;32.62;28.24
"2020";"Total of the year";"Bullet";3.67;77.07;169.98;9819.00;21781.00;13033.00;54.86;42.72
"2020";"Total of the year";"Lausanne";33.25;2706.84;4748.66;217266.00;443045.00;298770.00;31.24;26.35
"2020";"Total of the year";"Bourg-en-Lavaux";3.92;82.16;150.98;12279.00;20343.00;13634.00;46.91;38.10
"2020";"Total of the year";"Morges";5.67;160.99;307.47;14311.00;26288.00;18812.00;34.92;25.49
"2020";"Total of the year";"Nyon";6.50;203.87;376.26;10420.00;23652.00;17306.00;25.10;18.51
"2020";"Total of the year";"Ch?teau-d'Oex";4.67;92.64;172.10;6977.00;12599.00;8270.00;25.39;20.80
"2020";"Total of the year";"Le Chenit";4.42;81.77;176.79;8094.00;12987.00;8238.00;29.53;21.48
"2020";"Total of the year";"Montreux";18.50;1249.63;2245.67;110409.00;219574.00;135211.00;31.50;28.58
"2020";"Total of the year";"Vevey";9.67;370.39;603.03;25327.00;50548.00;33263.00;25.32;23.77
"2020";"Total of the year";"Blonay - Saint-L?gier";...;...;...;...;...;...;...;...
"2020";"Total of the year";"Yverdon-les-Bains";3.67;216.31;417.80;29644.00;50247.00;30981.00;44.16;37.08
"2020";"Total of the year";"Brig-Glis";12.50;495.70;941.47;56835.00;131104.00;85448.00;49.94;40.28
"2020";"Total of the year";"Nendaz";6.25;82.75;181.41;12816.00;28122.00;15024.00;53.79;45.87
"2020";"Total of the year";"Orsi?res";12.58;200.25;482.85;18191.00;29745.00;16541.00;27.04;20.44
"2020";"Total of the year";"Val de Bagnes";...;...;...;...;...;...;...;...
"2020";"Total of the year";"Goms";9.83;188.90;384.90;23805.00;52532.00;30583.00;50.43;42.58
"2020";"Total of the year";"Evol?ne";10.67;156.72;326.49;16068.00;29489.00;17147.00;35.33;29.05
"2020";"Total of the year";"Leukerbad";19.92;650.33;1232.41;84227.00;190841.00;105753.00;50.71;48.31
"2020";"Total of the year";"Martigny";8.33;344.84;618.73;31688.00;50898.00;35452.00;29.85;23.89
"2020";"Total of the year";"Champ?ry";8.42;237.32;496.00;20950.00;46996.00;25397.00;31.93;28.57
"2020";"Total of the year";"Saint-Maurice";3.00;90.00;156.00;7031.00;12996.00;10275.00;32.05;23.30
"2020";"Total of the year";"Sierre";5.17;127.79;256.74;14247.00;22413.00;14711.00;34.37;26.11
"2020";"Total of the year";"Anniviers";16.58;330.62;788.99;40671.00;114862.00;60021.00;58.00;46.60
"2020";"Total of the year";"Crans-Montana";19.92;733.55;1575.74;67107.00;188323.00;102264.00;43.91;37.59
"2020";"Total of the year";"Sion";5.00;189.00;351.75;30645.00;49297.00;34109.00;52.75;41.00
"2020";"Total of the year";"Saas-Fee";30.83;814.04;1721.11;92127.00;274409.00;148984.00;56.60;49.28
"2020";"Total of the year";"Saas-Grund";9.50;198.27;384.87;14640.00;50548.00;29078.00;43.59;38.88
"2020";"Total of the year";"Visp";3.92;129.66;240.70;14331.00;31917.00;24295.00;52.89;37.46
"2020";"Total of the year";"Zermatt";82.67;2677.63;5471.49;352863.00;997094.00;528816.00;62.03;56.92
"2020";"Total of the year";"La Grande B?roche";3.75;30.75;53.75;2007.00;3411.00;2106.00;19.16;17.81
"2020";"Total of the year";"La Chaux-de-Fonds";6.25;174.37;287.06;12676.00;19485.00;14435.00;22.83;18.79
"2020";"Total of the year";"Neuch?tel";10.92;377.56;657.10;56287.00;91324.00;58725.00;43.65;39.05
"2020";"Total of the year";"Lat?na";...;...;...;...;...;...;...;...
"2020";"Total of the year";"Gen?ve";69.75;5422.48;8823.92;325372.00;708755.00;531265.00;27.41;22.51
"2020";"Total of the year";"Lancy";3.08;317.28;671.58;25670.00;45125.00;30184.00;26.30;18.53
"2020";"Total of the year";"Meyrin";7.75;1222.92;1792.56;84062.00;140337.00;112936.00;26.93;22.79
"2020";"Total of the year";"Vernier";3.58;268.25;572.25;20214.00;38479.00;23078.00;23.51;18.37
"2020";"Total of the year";"Del?mont";8.67;191.66;378.75;14379.00;26403.00;20379.00;29.88;19.57
"2020";"Total of the year";"Saignel?gier";5.08;83.55;180.54;13616.00;21988.00;12743.00;45.37;36.37
"2020";"Total of the year";"Porrentruy";6.58;73.99;130.74;6227.00;11365.00;7721.00;30.66;25.50
"2020";"Total of the year";"Clos du Doubs";5.67;50.37;115.23;6242.00;9271.00;5442.00;34.58;25.77
"2020";"Total of the year";"Moutier (JU)";...;...;...;...;...;...;...;...
"2021";"Total of the year";"Kloten";5.00;868.00;1467.00;86050.00;135607.00;96927.00;30.59;25.32
"2021";"Total of the year";"Opfikon";10.00;2096.00;3485.00;153498.00;255084.00;194724.00;25.66;20.24
"2021";"Total of the year";"D?bendorf";6.00;171.00;239.00;12962.00;24825.00;19849.00;33.42;30.01
"2021";"Total of the year";"Uster";6.00;190.00;334.00;8732.00;26826.00;18891.00;27.82;22.45
"2021";"Total of the year";"Winterthur";17.00;702.00;1328.00;56180.00;109726.00;78762.00;31.05;22.84
"2021";"Total of the year";"Z?rich";109.00;7806.00;14898.00;862466.00;1650531.00;1075567.00;38.32;30.80
"2021";"Total of the year";"W?denswil";4.00;69.00;117.00;7711.00;13605.00;9725.00;39.58;32.64
"2021";"Total of the year";"Horgen";4.00;114.00;167.00;5824.00;10250.00;7652.00;19.34;17.48
"2021";"Total of the year";"Langenthal";6.00;198.00;385.00;16578.00;25915.00;19902.00;28.21;18.88
"2021";"Total of the year";"Bern";34.00;2297.00;4101.00;306656.00;511474.00;345890.00;41.97;34.77
"2021";"Total of the year";"K?niz";5.00;66.00;146.00;4764.00;9820.00;6123.00;26.88;19.57
"2021";"Total of the year";"Biel/Bienne";7.00;338.00;517.00;40039.00;70864.00;55402.00;45.11;37.77
"2021";"Total of the year";"Burgdorf";4.00;96.00;235.00;21348.00;32404.00;18351.00;55.02;39.63
"2021";"Total of the year";"Adelboden";17.00;651.00;1328.00;74755.00;192155.00;104136.00;47.92;43.42
"2021";"Total of the year";"Aeschi bei Spiez";5.00;95.00;190.00;8112.00;18821.00;9822.00;29.25;28.01
